user_id,item_id,rating
Alex,7443,4
carolyn.agan,7443,3
Robyn,7443,4
De,7443,4
tasha,7443,4
gina.chihos,7443,5
Kim,7443,2
jess.betcher,7443,5
Elissa,7443,4
Yvette,7443,4
Allyson,7443,5
bcornwell,11960,5
emily.opala,7443,5
krista,7443,5
radhika.mulani,7443,4
Lina,7443,5
Karolynne,7443,5
Laurelle,7443,5
mjcuyler,7443,1
vickic88,11960,5
Monica,7443,5
s_curtis82,11960,5
Tia,7443,4
Mindy,11960,5
krystalmarie,11960,5
tiffanyl85,7443,5
Talia,11960,5
chelsmitch,7443,3
Nichole,11960,5
Jacqueline,11960,5
Danica,11960,5
poisonlake,11960,4
Emmy,11960,5
Victoria,11960,5
Jacque,11960,5
Bethany,7443,5
Kelsey,11960,5
emilie.mercier,7443,5
Kirstin,7443,5
natashia,7443,3
Loni,7443,5
Shanna,7443,2
Cassandra,7443,4
MaryJackelyn,7443,5
civilwarchick,7443,3
Julianna,7443,5
chandlen91,7443,4
Laksmi,7443,5
Nina,7443,5
lenderle,7443,1
Candice,16411,4
lolaagain,16411,4
flanniedc,16411,4
Paige,16411,5
Haley,16411,5
lubdubart,7443,2
Shawna,11960,5
Tahlia,7443,4
Alice,11960,4
Mazette,11960,5
Rose,11960,2
Pauline,16411,5
lpstewart,11960,4
natalia,11960,5
A.,11960,5
equidae,16411,5
Tika,11960,5
Tori,7443,4
Cayman,11960,5
Kaeleigh,16411,5
dcwagner75,11960,3
kellyrand,16411,3
yvettemryan,16411,4
Audrey,11960,2
simplefinishes,16411,5
lyndsey10387,7443,3
Beth,7443,4
Krissy,11960,5
brandymarie23,11960,4
Hanh,16411,2
jakolyn,11960,5
Theresa,11960,4
stephanie,11960,3
Sue,11960,1
emilyjaynebaker,16411,4
Claire,11960,5
Vivian,11960,4
Erikka,16411,4
Elisa,16411,5
auhooser,7443,5
Afiya,11960,3
emily.a.farmer,11960,2
anne_kuznia,7443,3
amber.toole,7443,5
Petra,16411,5
Alonna,7443,4
as2005,7443,3
kimberly,7443,4
tiffanyl85,11960,3
AnnaLee,11960,5
sami,11960,5
joty,11960,4
Bonnie,11960,5
drea,11960,4
bianca.gallagher,11960,4
alicia,11960,4
Alexis,11960,4
tasha,16411,3
Mona,16411,2
Mackenzie,11960,2
Thacarra,11960,5
Carolina,16411,5
joannamarizb,11960,5
Renata,11960,5
Ariela,16411,4
Addie,16411,3
sophia,7443,5
ashland.park,7443,5
Stacey,11960,2
Mona,7443,3
Jessie,7443,5
Devon,11960,5
Modcloth,16411,5
Cara,11960,5
Mace,16411,5
Hanaa,11960,5
Kelsea,11960,5
Yareli,11960,4
catherine_wah,16411,5
Cecilia,16411,4
Myriam,7443,3
cheryl,16411,5
charbott,7443,4
erikakeaveney,16411,5
Wu,16411,5
Venesha,16411,5
krazykat10388,16411,4
jenettedonovan,11960,4
Kailin,11960,5
rebecca.buchmann,16411,4
eryn,11960,5
Mini_ModCloth,11960,4
Richard,11960,5
Kelsie,11960,2
Johanna,16411,5
Natalia,11960,4
Catherine,11960,5
Lyuba,7443,4
erika,16411,4
sjaneczek132,11960,5
whit,11960,4
kathleengberry,7443,4
Iffat,7443,4
Rue,11960,5
butterflypoet777,16411,5
jrgoldberglives,11960,5
callisto05,11960,3
vinise,7443,4
eschmeltz,7443,3
pamelamabrey,11960,5
Cornelia,16411,5
ntate03,11960,4
guskey.1,7443,4
Jordan,11960,5
c_wagner82,7443,2
tinaelaine02,11960,4
L,16411,4
Ellen,11960,5
bookyeti,7443,4
beckymoore77,7443,2
Sangdi,16411,5
erin,7443,1
Joanna,16411,5
susan.516,16411,4
laselzle,16411,4
Shelby,11960,3
Brenda,11960,5
gottalovelife,16411,5
miriamvaz07,11960,5
jeanna,16411,5
Giselle,16411,5
Stephen,16411,5
dukevendetta,11960,3
Tressa,16411,4
Susanne,11960,5
sara.saffery,11960,4
Carina,16411,5
Leanne,16411,3
Carisa,16411,4
India,16411,2
Katlyn,16411,5
Cherie,16411,3
Roxanne,11960,5
kristenleigh_9,11960,5
Bree,7443,3
nicole,16411,3
V,11960,5
Jess,11960,4
ntikunoff,16411,5
amanda.mae.stoddard,16411,4
Kai,16411,4
greendragon943,11960,4
Ray,11960,5
brooke.roegge,16411,3
kula.lauren,11960,5
angela,16411,3
witch2682,16411,4
jeni,11960,5
chrystalfanelli,11960,4
Genny,16411,4
joely,16411,3
Marsewi,7443,4
Jacey,11960,5
ngai.ashley,11960,4
andreasmith,16411,5
Gwen,16411,4
TK,16411,5
Thea,7443,3
emi,11960,3
vlgclx79,16411,5
puckyjess,7443,4
Abby,11960,5
kelly,16411,5
loelle76,11960,5
rabbitonthemoon,16411,5
jessiefletch5,11960,3
Bertha,16411,4
rosy,11960,4
anila.madiraju,7443,3
soraiku,7443,4
GracieLou,16411,5
Tessa,11960,4
shauna,16411,4
candyruleslol,16411,3
ng0405,11960,3
mbelany,16411,2
Kieu,16411,2
Miriam,16411,4
Priscilla,16411,2
Aniyia,16411,2
Genevieve,16411,4
zscl2,16411,5
lotusflower85.j,16411,3
Nolwenn,11960,4
alixecampbell,11960,4
berneyhj,16411,5
Taylor,7443,4
Nancy,11960,4
Rachelle,16411,5
st_rgregory,16411,5
Mak,11960,4
Gabby,7443,5
kamacneil,16411,1
lizerickson3,7443,5
Noelle,11960,5
Shanna,11960,5
katrynafennerty,11960,4
Charlotte,7443,3
Fhung,11960,4
Bonnie,16411,5
page26,11960,4
Valentina,7443,5
kgudknecht,7443,3
Tabitha,7443,3
nora,7443,4
schmidtamelia,16411,2
Lis,16411,3
Chryseis,16411,3
checlari,11960,3
Farrah,7443,5
ejs,16411,5
lauralyly,16411,4
Rochelle,16411,3
Audra,16411,5
maryannmattox,11960,4
Petrastella,11960,4
Muriel,11960,3
A,16411,5
Fatimah,16411,5
carneyr316,11960,5
Petra,21296,5
ejs,21296,4
Christen,11960,5
Katrina,11960,3
Hollie,16411,5
phakemailz,7443,2
Cailin,7443,5
valerieluvsdmb,16411,5
Katelyn,16411,4
Jazmin,11960,2
lexaplex,22563,5
amandajp79,22563,3
Brandi,21296,5
Aneirin,16411,5
April,16411,5
Zen,7443,5
kate.c.nelson,11960,5
Allisson,16411,3
Kristine,16411,5
Karen,16411,5
Angie,16411,5
mandylynn44,7443,5
heatherjgustafson,11960,5
laurenu5652,16411,3
hopeharrod,7443,4
Silvia,11960,5
Allyson,11960,5
Meghan,22563,5
Molly,16411,4
Lora,7443,4
Sandrine,16411,3
Michelle,11960,5
sassyfluff,16411,2
rachelgagnier,11960,5
Kristyna,11960,5
Margie,7443,4
Brooke,11960,4
Zia,16411,3
Momo,21296,5
Jennie,24853,5
geislerrl,16411,5
Elena,24853,5
Kimberly,11960,5
Jackie,21296,5
Allison,24853,2
wordworthy,16411,4
jaclyn.biskup,11960,5
Sabina,21296,4
Nikki,21296,5
ellen,21296,5
inishmore_whispers,16411,5
Deanna,16411,2
hutcle0,24853,4
Mindy,16411,4
Lissa,16411,5
sheila.m.packard,11960,5
Anita,11960,2
lisa00bennett,24853,5
Joyce,16411,5
Andie,11960,4
Sarita,21296,5
Lesley,24853,5
rachel,11960,4
ram.z.rach,11960,5
rachael.margarita,7443,1
ailimalm,16411,5
Jolene,16411,5
Cherrie,7443,5
anne,11960,2
bkeskinen,22563,4
candi,11960,5
kacikorn,21296,4
heather,11960,4
Rachele,11960,5
christina.kallas,16411,5
acmathison,24853,2
Kelci,11960,5
Catelin,16411,4
Sabrina,16411,5
Di,16411,4
shayda,16411,4
lesleydawn88,21296,4
lindashipley7,11960,1
justfareh,16411,5
justfareh,11960,4
Firefly,11960,4
alethea,11960,5
Manon,24853,4
Jill,24853,4
Kalaisha,24853,5
Maggie,16411,4
Portia,16411,3
Kendall,16411,5
Liana,21296,5
Ragon,16411,4
Charlotte,11960,5
Brigette,11960,2
oakey18_,11960,3
Naret,7443,5
Jane,11960,4
mleglueckert,11960,5
mmoseley,11960,5
Hilary,11960,5
bonniemarieparks,11960,1
Peggy,11960,5
Chelsea,7443,4
Leighann,7443,3
Rene,16411,5
catherine,7443,4
Jody,16411,2
varsha.damle,16411,4
elizholtan,21296,5
AnneLaure,16411,5
Carolanne,21296,5
Jessie,27590,5
Elisa,7443,4
ashlee.mc,21296,3
baelynnnoelle,7443,5
Jordan,7443,4
Gabriele,7443,2
Marion,28967,5
Verona,7443,4
Noelle,7443,4
Iris,27590,5
basley1,21296,5
eleanor.a.manning,21296,3
Sabrina,7443,5
bethan.hazell,21296,5
Elissa,16411,3
Corinne,21296,5
glennamurillo,21296,2
Vawn,21296,5
sskymmell,16411,4
mylaundrystinks,7443,5
Faith,7443,4
jessicaslkirk,21296,5
jamieljohnson,7443,5
amysolowiej,16411,5
Brandy,7443,5
Gwen,21296,5
lulu,21296,5
jesshow8,21296,4
nicole.mccarthy711,11960,3
chambers_lindsay,21296,5
Jenna,27590,2
Sandra,27590,5
Louarna,21296,5
catherine.hk.ho,21296,4
K,21296,5
beckywelander,21296,4
Talia,7443,5
carlyallison,21296,5
Saxony,16411,3
NaaDei,21296,5
Soo,7443,4
June,21296,3
heamhous,7443,5
Colleen,16411,4
Enid,21296,4
smaksimo,16411,3
danabtwist,16411,3
Ruchama,7443,4
naohetakasue,16411,4
Julie,16411,3
alyburks,7443,2
MarieJos?e,21296,5
qotsa.love,7443,2
Lord,7443,5
emmie,16411,4
Manda,7443,5
Nady,7443,3
Symantha,21296,4
Haven,16411,2
Sunita,21296,5
Sidney,7443,5
natchtigger5,7443,3
Marie,27590,1
Lynne,21296,3
Brianna,16411,5
seketabi,28967,5
radhika.mulani,28967,5
keialove,28967,5
releceb,16411,1
Susie,16411,5
solomonsr1,28967,5
Colleen,21296,3
marisadomenech,28967,4
Polly,27590,5
Symantha,16411,5
kathy.aaron,16411,4
Darcy,7443,4
elfgirl1066,7443,4
Siemon,7443,5
kimberlydalecarter,28967,5
releceb,28967,4
melissa,16411,5
Lisa,21296,5
Hilary,28967,4
Eleshia,28967,4
J,7443,3
Joanne,16411,3
Tiffany,16411,5
sewardliz,28967,5
Sarita,28967,5
Haven,28967,5
ahrouse314,28967,5
Birta,28967,5
Chibird,28967,5
mptamburrini,16411,1
MakingBiscuits,28967,5
Madeleine,28967,5
claudzilla5,28967,4
Toni,28967,5
Louise,7443,4
kayla.frye,28967,5
maureen.catherine.young,28967,5
Victoria,31752,5
ajb75,16411,5
denise.gabrielson,16411,3
ashley,21296,5
Holly,28967,5
katie,16411,3
Viviana,28967,5
Cornelia,21296,4
Karina,21296,4
thecornhazearz,21296,5
Karina,16411,4
felicia.salinas53,7443,5
Madison,7443,4
shandi,16411,4
singing.stones,28967,4
Nikita,21296,5
emily,21296,5
Kathy,21296,5
Jaclyn,7443,4
bmm1981,28967,5
Sunita,28967,5
ModLover,31752,4
blondi9959,21296,5
divanum3,16411,4
jmy715,28967,5
missmizu,16411,4
gisella,21296,3
Verena,21296,5
Ellen,16411,5
Tabitha,28967,5
Candace,7443,4
Bryony,7443,5
readingisattractive,7443,4
Martha,16411,3
cherylverne,28967,2
Kristina,7443,4
K,27590,5
Annamaria,21296,5
smelmosleh,28967,5
Regan,21296,3
Gabriele,28967,4
cherylverne,16411,2
kshaw27,7443,5
lizardesque,28967,5
amysosinski,21296,5
Nona,28967,4
Carol,28252,5
annie.black,7443,5
Jolie,11960,5
k,7443,3
Brianna,28252,5
NaaDei,7443,4
sbnaylor,16411,1
Lisa,7443,5
JILL,16411,2
nin,21296,5
Sofia,21296,3
Joanna,7443,4
lorievdz,7443,4
rechelle_dawn,16411,5
kaleycmcmahon,16411,4
Marissa,28967,5
sadie,7443,4
sadie,28252,5
Helen,28252,5
Jeannette,31752,3
jennywanger,7443,4
Lexi,28252,5
c,16411,4
tpratummas,28252,5
bmccorma,16411,2
Joanna,21296,2
Kathy,28252,5
carrie.esler,28967,3
Liza,28967,5
eashdjian,7443,4
ALYSSA,21296,5
eashdjian,21296,4
Lily,31752,2
alisan.amrhein,7443,1
chanel11,7443,3
sarahcrevell,28967,5
Katy,16411,5
Lynsay,21296,4
smrakaboubala,21296,3
Shira,28967,4
Kendall,7443,2
mncorr,31752,3
hpkrijnen,21296,4
reesatirrell,21296,5
Monica,21296,5
Setareh,7443,4
Patricia,21296,4
Melinda,21296,4
Leah,28967,5
Brooke,7443,4
maren.linn,7443,5
Jeannette,21296,4
Momo,7443,5
Meg,31752,5
Carmen,7443,5
Kamille,28967,5
jennifer.jaycox,7443,5
hannah.blumenreich,31752,5
Gabriela,21296,1
Maddie,31752,3
Samantha,7443,5
dainty.llama,28967,5
Val,16411,4
wordsworth85,7443,5
nyssaentrekin,27590,5
M.,16411,3
Sari,28967,5
Nikki,16411,1
Michhaela,21296,4
kaitlyn.pihart,7443,4
Nicola,31644,3
annemcph,16411,3
cecidadisman,16411,1
Alexandra,7443,2
Penny,16411,4
catherine,11960,5
ruth,16411,5
smsteudle,21296,3
ADRIENNE,16411,2
keriehill,16411,5
bec,21296,5
Lindzi,31644,5
Korey,21296,4
Kaitlyn,11960,5
leahsolomon5,11960,5
Madison,16411,3
Margot,28252,3
Natasha,16411,4
Cate,31644,3
afrrrodite,28967,5
Nichole,16411,4
Mary,28252,5
jyutkowi,7443,4
Deborah,16411,2
hey.sup.k,7443,3
aliciarjames76,31644,4
Swati,7443,5
nica_doodle21,7443,5
maryam.kanna,31644,4
tacofoxx,28252,5
roxy_princess5,21296,5
Donna,16411,4
nut_ee,31644,3
cynthesizer,28252,4
Halina,16411,5
Olga,21296,5
Samantha,28967,5
Deanna,27590,4
d.diggum,16411,5
Chelsea,27590,5
Izzy,7443,4
chungleewu,16411,4
Candice,28967,5
chelcy,7443,2
hassina,27590,5
Nina,16411,3
Kara,28967,5
Candace,28967,5
Gwynn,28967,5
Veronika,31644,4
Isha,31644,5
melusine33,28967,5
JEANNiE,28252,5
varyka,28967,5
Rebekah,16411,2
Worlanyo,7443,4
andreamadu1221,27590,5
woodlandsgirl_sara,21296,5
candle.swans,21296,4
Cordelia,21296,5
yngwiezimm,28967,3
laurenbarkhouse,31644,4
melissa,31644,5
Celia,16411,5
animox72,31644,5
schraffers,21296,4
Kay,16411,4
katiesparkman,31644,2
Devon,7443,5
Ren,31644,5
Kathryn,27590,5
crowcifer,28967,5
sessalee,31644,5
leebee3b,28967,5
Sofia,31644,4
Parris,16411,2
Daniella,16411,3
Nicole,27590,5
Ellandrea,31644,5
Cristina,31644,5
yooshin,31644,4
Kelly,7443,4
Cristina,7443,3
jessicae718,21296,5
stephanibe,7443,3
m.horse.ski.z,31644,3
Julia,28967,5
Teresa,24853,4
jenelle.m.jones,24853,5
alicia,16411,4
