orginazation,server,number,model,serial,time,degree,hum,fine dust,ultrafine dust,voc,co2,day
서울시,19,1,IAQ_SEOUL,V10G1802677,2.02E+11,21,46,5,4,7,570,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802532,2.02E+11,21,45,5,3,15,284,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802233,2.02E+11,21,46,4,3,8,355,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802454,2.02E+11,21,46,1,0,8,442,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802667,2.02E+11,21,47,4,3,8,397,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803812,2.02E+11,21,45,4,3,15,382,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802099,2.02E+11,21,46,4,3,106,447,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802062,2.02E+11,22,40,5,3,122,534,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802419,2.02E+11,20,46,61,59,48,329,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802027,2.02E+11,21,46,5,4,19,432,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802225,2.02E+11,21,49,4,3,27,461,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802197,2.02E+11,21,48,5,4,59,452,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802091,2.02E+11,23,53,4,3,6,377,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802715,2.02E+11,21,50,4,3,12,484,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802191,2.02E+11,20,49,5,4,99,405,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802415,2.02E+11,17,49,4,3,581,383,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803761,2.02E+11,22,43,12,5,18,358,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802525,2.02E+11,24,42,4,3,25,336,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802678,2.02E+11,23,43,4,3,42,332,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802357,2.02E+11,22,48,3,3,18,426,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803781,2.02E+11,21,47,5,4,97,550,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802657,2.02E+11,20,47,0,0,16,419,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802698,2.02E+11,22,51,4,3,18,438,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803719,2.02E+11,22,53,0,0,14,638,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802538,2.02E+11,22,43,6,5,123,275,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802799,2.02E+11,22,49,3,3,5,0,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803064,2.02E+11,23,41,6,4,61,309,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802686,2.02E+11,22,42,0,0,278,415,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802527,2.02E+11,22,48,3,3,49,492,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802790,2.02E+11,22,51,0,0,6,424,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803245,2.02E+11,22,48,4,4,65,348,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802446,2.02E+11,22,44,4,3,43,395,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803271,2.02E+11,20,49,3,3,9,335,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802075,2.02E+11,22,50,3,3,86,431,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802573,2.02E+11,20,57,3,3,8,357,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802523,2.02E+11,22,45,6,4,8,409,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803074,2.02E+11,23,42,3,3,47,589,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802792,2.02E+11,19,50,6,4,7,338,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802676,2.02E+11,22,42,3,3,34,174,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1803045,2.02E+11,22,50,4,3,12,421,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802186,2.02E+11,24,41,4,3,57,293,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802309,2.02E+11,21,46,3,3,13,445,2021-05-10 0:00
서울시,19,1,IAQ_SEOUL,V10G1802182,2.02E+11,22,44,3,3,13,320,2021-05-10 0:00
