측정일시,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지농도(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),통합대기환경등급,통합대기환경지수,지수결정물질
2.02105E+11,도심권,중구,6,3,0.042,0.012,0.3,0.003,보통,61,O3
2.02105E+11,도심권,종로구,7,2,0.045,0.011,0.3,0.003,보통,63,O3
2.02105E+11,도심권,용산구,9,5,0.033,0.015,0.3,0.003,보통,53,O3
2.02105E+11,서북권,은평구,4,6,0.039,0.017,0.4,0.003,보통,58,O3
2.02105E+11,서북권,서대문구,0,6,0.042,0.009,0.4,0.003,점검중,-99,점검중
2.02105E+11,서북권,마포구,10,3,0.031,0.02,0.3,0.002,보통,51,O3
2.02105E+11,동북권,광진구,7,4,0.04,0.014,0.3,0.003,보통,59,O3
2.02105E+11,동북권,성동구,11,5,0.044,0.021,0.4,0.004,보통,62,O3
2.02105E+11,동북권,중랑구,8,4,0.033,0.019,0.3,0.002,보통,53,O3
2.02105E+11,동북권,동대문구,10,3,0.037,0.02,0.3,0.002,보통,56,O3
2.02105E+11,동북권,성북구,7,6,0.039,0.02,0.3,0.003,보통,58,O3
2.02105E+11,동북권,도봉구,13,6,0.045,0.009,0.2,0.002,보통,63,O3
2.02105E+11,동북권,강북구,5,1,0.044,0.008,0.2,0.002,보통,62,O3
2.02105E+11,동북권,노원구,5,2,0.038,0.012,0.3,0.002,보통,57,O3
2.02105E+11,서남권,강서구,8,6,0.037,0.023,0.2,0.003,보통,56,O3
2.02105E+11,서남권,구로구,12,4,0.033,0.026,0.3,0.003,보통,53,O3
2.02105E+11,서남권,영등포구,12,5,0.03,0.022,0.4,0.002,보통,51,O3
2.02105E+11,서남권,동작구,11,4,0.038,0.016,0.3,0.002,보통,57,O3
2.02105E+11,서남권,관악구,8,3,0.031,0.025,0.3,0.003,보통,51,O3
2.02105E+11,서남권,금천구,9,7,0.038,0.017,0.3,0.002,보통,57,O3
2.02105E+11,서남권,양천구,11,6,0.034,0.016,0.3,0.003,보통,54,O3
2.02105E+11,동남권,강남구,10,4,0.036,0.019,0.4,0.002,보통,56,O3
2.02105E+11,동남권,서초구,7,1,0.035,0.021,0.3,0.003,보통,55,O3
2.02105E+11,동남권,송파구,11,8,0.03,0.028,0.4,0.002,보통,51,O3
2.02105E+11,동남권,강동구,9,4,0.032,0.018,0.2,0.002,보통,52,O3
