case,date,sex,age,area,sales,product,note
2021000005,2021-01-01,남성,20 - 29세,경기도,기타,종합체육시설회원권,계약해제.해지/위약금
2021000006,2021-01-01,남성,50 - 59세,경기도,일반판매,시계,청약철회
2021000007,2021-01-01,여성,40 - 49세,서울특별시,일반판매,건물청소서비스,AS불만
2021000008,2021-01-01,남성,30 - 39세,경기도,모바일거래,도배공사,가격.요금
2021000009,2021-01-01,여성,20 - 29세,부산광역시,국내온라인거래,영어자격(능력)시험,계약해제.해지/위약금
2021000011,2021-01-02,여성,50 - 59세,경기도,일반판매,기타위생서비스,AS불만
2021000012,2021-01-02,남성,65 - 69세,대구광역시,기타통신판매,LED램프,AS불만
2021000013,2021-01-02,남성,40 - 49세,서울특별시,모바일거래,인터넷게임서비스,청약철회
2021000014,2021-01-02,여성,30 - 39세,충청남도,국내온라인거래,기타모피·가죽의류,청약철회
2021000015,2021-01-02,여성,20 - 29세,부산광역시,방문판매,헬스장,청약철회
2021000016,2021-01-02,여성,50 - 59세,서울특별시,방문판매,포장이사운송서비스,계약불이행(불완전이행)
2021000017,2021-01-02,여성,20 - 29세,서울특별시,국내온라인거래,라텍스매트리스,품질(물품/용역)
2021000018,2021-01-02,여성,40 - 49세,서울특별시,방문판매,피부·체형관리서비스,계약해제.해지/위약금
2021000019,2021-01-02,여성,20 - 29세,경기도,방문판매,필라테스,계약해제.해지/위약금
2021000020,2021-01-02,남성,30 - 39세,경상남도,일반판매,안마의자,안전(제품/시설)
2021000021,2021-01-02,여성,30 - 39세,인천광역시,국내온라인거래,운동화,청약철회
2021000022,2021-01-02,남성,30 - 39세,서울특별시,소셜커머스(쇼핑),도서·음반대여(렌트),청약철회
2021000023,2021-01-02,남성,40 - 49세,부산광역시,국내온라인거래,국내결혼중개,계약해제.해지/위약금
2021000101,2021-01-03,여성,20 - 29세,경기도,국내온라인거래,코트,청약철회
2021000102,2021-01-03,여성,30 - 39세,서울특별시,일반판매,여성용내의류,계약불이행(불완전이행)
